"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**";"MountingHole_2.7mm_M2.5";4;"MountingHole_2.7mm_M2.5";;;
2;"J1";"JST_PH_S2B-PH-K_02x2.00mm_Angled";1;"BATT";;;
3;"F1";"MSMF050_FUSE";1;"Polyfuse";;;
4;"D3";"LED_D3.0mm";1;"LED";;;
5;"JP1";"Pin_Header_Straight_1x06_Pitch2.54mm";1;"FTDI";;;
6;"U1";"AP2112-SOT25";1;"AP2112-3.3";;;
7;"SW2";"TL1100_SWITCH";1;"SW-Push-2";;;
8;"SW1";"KMR2_switch";1;"SW-Push-2";;;
9;"R6,R5,R4,R3,R2";"R_0805_HandSoldering";5;"10K";;;
10;"R1";"R_0805_HandSoldering";1;"1K";;;
11;"D5";"1N4148W_SIGNAL_DIODE";1;"1n4148";;;
12;"D4,D2";"MBR120_SCHOTTSKY_DIODE";2;"D_Schottky";;;
13;"D1";"LED_0805_HandSoldering";1;"LED";;;
14;"C2,C1";"C_0805_HandSoldering";2;"10uF";;;
15;"U2";"adafruit_esp12";1;"adafruit_esp12";;;
16;"R7,R8";"R_0805_HandSoldering";2;"0";;;
17;"TP1,TP3";"Measurement_Point_Square-TH_Small";2;"GND";;;
18;"TP2";"Measurement_Point_Round-TH_Small";1;"CTS";;;
19;"TP4";"Measurement_Point_Round-TH_Small";1;"3V3";;;
20;"TP5";"Measurement_Point_Round-TH_Small";1;"BATT+";;;
21;"TP6";"Measurement_Point_Round-TH_Small";1;"RTS";;;
22;"TP7";"Measurement_Point_Round-TH_Small";1;"VCC";;;
